"No.","Time","Source","Destination","Protocol","Length","Info"
"110","0.425576769","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"111","0.425585879","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=44861 Win=53656 Len=0"
"112","0.425576959","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"113","0.425849139","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"114","0.425859019","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=47685 Win=63540 Len=0"
"115","0.426440319","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"116","0.426694779","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"117","0.426807719","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=50509 Win=62128 Len=0"
"118","0.427532939","34.160.122.198","10.0.2.15","TLSv1.3","2878","Application Data, Application Data"
"119","0.427544588","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=53333 Win=62128 Len=0"
"120","0.430805326","34.160.122.198","10.0.2.15","TLSv1.3","9938","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"121","0.430805466","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"122","0.430870056","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"123","0.430870256","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"124","0.430870316","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"125","0.431016126","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=68865 Win=63540 Len=0"
"126","0.431955495","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"127","0.431955725","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"128","0.432033356","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=71689 Win=65535 Len=0"
"129","0.431955795","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"130","0.431955855","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"131","0.432160465","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=74513 Win=65535 Len=0"
"132","0.432500285","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"133","0.432500495","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"134","0.432515395","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=77337 Win=65535 Len=0"
"135","0.432500545","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"136","0.433307195","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
